temp (°C),hum (%),vib (g)
29.0700934131697,52.13057724859591,0.17292402794356154
23.012372991082376,39.787058082658746,0.12283210431748401
14.160837348650327,79.25894236389959,0.0691773541338536
32.657217797946075,35.16937069726679,0.18821367857152363
20.000948763324246,58.2863576350029,0.048540154414392335
20.559762011580084,63.3715811118548,0.12828402331223346
25.27098287425758,50.552993048217395,0.16367428268308584
29.634697226195247,40.12251731641973,0.18354710377320704
28.77316927115328,60.932938733112486,0.15463221270171634
27.907421238450727,39.6446928417223,0.13078239215442913
18.408741453734134,62.51125005644817,-0.05387063263882615
20.240406563917283,45.316342139025586,0.2207275560211593
32.34576402842168,39.043492089817526,0.1724498502309832
26.563803599283027,54.81567746852645,0.04610785124179616
21.089130773597827,68.28522943033693,0.16412096342921062
27.464063306151093,44.266205539758666,0.06366413235613323
26.68203812743583,71.16695278295157,0.16452793311887676
24.51161460571936,58.627502316432185,0.07198520232002736
23.47530126959609,40.522762260719695,0.09547703658740364
21.10959750462999,38.237603748052294,0.11680511771526887
22.374210481298995,50.585892871175474,0.1338128394980636
26.068325664315672,50.52508226510777,0.12395893924086411
29.32784237547212,34.50891435942116,0.07704051775316326
25.6812651211864,42.45011054691975,0.15511842432994188
20.39419878335011,45.94434915941809,0.20790001794248092
25.123330657671293,66.32644969604986,0.10282313167008222
28.980217942639772,55.111216964313535,0.05482725114943066
24.632260889891704,50.86492467131954,0.040619906965119155
24.57523513679228,65.55339008394392,0.1376961664474417
23.72762510188698,51.000557871690404,0.11799356063204172
25.586939679842022,40.058800914225735,0.13494392363156452
24.454074585763323,52.13514528893516,0.15604734475267898
21.33023494767524,43.990147571214116,0.20891736725405272
30.065826184998052,40.67097527041988,0.13367320160526464
17.977655690112492,60.44596385266391,-0.05823811601340623
27.153924040522057,44.46757615195049,0.05715283214422466
16.571364973095136,49.14519071755301,0.1994852292838662
21.829375822688174,46.252671449934205,0.2036710073510138
28.742404746111653,38.74558489117935,0.19555309837366117
28.116381978118838,73.58821595568442,0.16764439557991456
29.564003064984064,35.77553010291891,0.17196422871300382
21.12799331282034,50.38361931437986,0.07749380483587817
25.068166568831135,37.08397759312719,0.11573164267687694
32.56284729542578,55.59246960681091,0.07487105906026453
24.321215432844536,55.48843962085133,0.19342487650953008
25.829969617061327,38.186768811518625,0.1558472804076533
24.890556269148238,40.43081699222223,0.1297468359767298
25.71534419985523,50.15683141123942,0.14512206702618088
22.430430734121476,51.25341740244847,0.11905153688594362
25.153995201389698,56.11294552838585,0.05468111457705479
33.64170831110539,38.60570060772412,0.10831362997607812
19.801384751217963,42.62318591650052,0.044262614466768754
27.82504088706485,67.68305858718425,0.1701768566456079
18.042130359730983,63.41047528100268,-0.06766113707376144
12.758948704245125,73.53392299303775,0.09574884116162964
21.406971177966415,51.612125302814626,0.07402816606494378
28.281052453252226,65.89940495806832,0.11195479178446355
28.789942217875595,39.47699016676027,0.07977348267801898
23.296301418456473,63.810258813909705,0.1272756575658811
22.966971252439667,34.336780233450284,0.13507277857752273
24.037586290296012,52.07124032676708,0.141634602272302
31.934689203863456,59.81186736182047,0.0298261240774141
24.750555838520945,55.0663522954526,0.18849090807333424
31.08375263912695,64.7616474914685,0.1594391056547556
18.890845036257787,56.216874525137804,0.07601053627875909
8.383657853269474,52.41620636075895,0.06480009842466088
19.38537607283744,57.89105485274479,0.051960042652317906
21.308849339797373,65.09391986098103,0.12996589744399495
25.72365100066961,55.38165553731518,0.157829070777196
24.73078141921723,57.161981531622565,0.010237045233096695
25.61168173513767,36.6880563993815,0.18755691450638418
19.99058047711091,48.524782459446456,0.021205557199362426
20.025571712801028,42.053301174541325,0.21004982979919767
20.940091067825808,53.29898695185397,0.12239909174827736
28.135109196040162,48.458116545623035,0.13664368504869964
24.801186824496316,36.545007704753836,0.03132271183067822
19.98962066579199,52.77498260204077,0.128716350416426
22.524446536335514,42.07353743684232,0.10787759096623756
20.524386231150835,51.91202651689587,0.16337846093640868
25.86889472115862,73.67033023573491,0.1736216503825854
23.59119155583325,52.47326269911533,0.05661620947167718
18.158707327771754,49.83544948699906,0.026518969479953528
17.03644086957768,48.8243658599173,0.12442140584333418
28.838695106470123,50.529750950383374,0.19487315539643926
25.135358057961408,57.8505747710091,0.1946802902703894
23.071098598013908,57.61302807695532,0.056130096325182885
23.037495105554072,51.67328058218371,0.14691067163546567
25.4286275630331,35.17592345440745,0.12874823622528428
25.575691881482378,46.78702740107896,0.15664419417913666
26.819559817286898,57.509301919477856,0.16596299383877255
15.679239933513283,68.85319960302853,-0.051975636263347016
36.01379938633481,72.9609344460276,0.12856670144246887
20.888208648616,66.45243622592439,0.1423654131996515
22.147566860223215,51.76283250841834,0.06487492257240807
22.641132530486736,53.79882528689761,0.1522728380288417
18.210776086800532,51.70742959932122,0.13148000456947934
24.790322098025598,34.21289690508671,0.031527536538101836
25.742978941520175,38.56555015074612,0.19362803122554464
30.990591685187574,57.34719807990624,0.06731987558210446
18.821703185420684,46.25847904648204,0.21381234427218215
17.966155516443724,79.10999043447916,0.09969001444879101
25.153401472145855,46.51667678680787,0.018118410613857196
24.71856708789788,62.36419132605524,0.11476090779720065
31.387488390545588,36.66902324971103,0.07078169235241809
19.153594462290517,52.42972128483276,0.02047572334943117
26.669099433658474,48.560223964051886,0.1625037376164024
26.770406525119743,62.881307015996626,0.08677794441118182
15.2170038818627,76.26758333138557,0.09444103653741359
32.6748820822951,68.37113916469353,0.022903412834536188
25.466459021033675,59.31863838447612,0.16894952702290605
27.790678822842015,48.02936534279858,0.07873791990888937
15.454933359462919,78.63906181524145,0.1378168167111386
27.081088467565813,53.083329639900924,0.15583017254126283
18.625151194111805,58.987863267678755,-0.057087121747291594
20.825356324326428,52.42003877075148,0.1435919437226941
22.93212625809375,53.56782925832122,0.06986870794669059
21.255632298907255,41.49338790420178,0.1132133886390354
23.709038834085867,46.6884658211835,0.1298703685578505
17.029244165774116,52.85162292739281,0.13353327198813678
21.76694839364596,50.10558206038987,0.03615033910145635
26.929560226054498,32.13768302101055,0.030058485942786744
23.166197065140945,52.514879136070064,0.1482151847088421
30.766804751323583,41.6069405000607,0.1915255584561063
34.54407764212597,37.587174352074996,0.19346629632822712
25.977602187002574,54.508220143203374,0.16181552532361926
22.99955202687346,47.25959284317581,0.02604517869551537
21.395991886225357,54.970906687557225,0.14259851632301296
23.173327367528415,59.49143337931024,0.06073209068995557
25.618178896024304,51.82891911877731,0.14529006490360255
30.919986864259354,58.59728376452083,0.21064816232899394
24.758431893666458,52.46937189732636,0.032983466017153545
14.388604716322483,46.37900927667222,0.1027974116825279
20.144100767807235,47.71869336709747,0.23681568892679175
32.55148771032455,48.26119723408148,0.1195096178217162
17.733397085507946,59.72819048435132,0.15484907423495545
25.797659071531704,59.27974314437403,0.21153313641192967
19.523061237461985,50.52281999407708,0.10874837950779202
23.097601313877686,51.440153338420416,-0.0024331008264353096
29.129385499043604,55.95248288776353,0.15491223928933176
22.51008769975793,55.9540713024011,0.14009120857486437
31.03383090475381,39.24208504359467,0.023884585923799134
28.136069550073294,57.33651957470051,0.17865722552149457
32.7729183593168,58.4827508865541,0.062388068806030275
24.590044368764886,61.053821498812674,0.10890138373740374
17.33553635450849,78.01377766057767,0.11945177091357573
25.67231298617211,52.60737342779469,0.11652336120324558
22.883571295736665,35.120725577819705,0.12259570215711714
24.706094787875855,46.80464358282567,0.12003218458190919
15.693360756307348,55.1835993107888,0.06483652954781065
21.135546629768587,65.41919361228865,0.10589357770192648
33.01946209186088,51.044186189675415,0.12136239981020755
23.8517049230377,34.83558986628184,0.134731876559822
21.79840999918083,62.72754191731069,0.05248799947667722
24.359602016762608,45.90012696359705,0.012362915799438752
28.95616689134949,37.060934782953645,0.121179599083271
29.41409938837172,45.02023018626707,0.08364133645436078
19.66837002969352,52.456356016410005,0.1138290586017068
15.122426840557305,51.43761383751311,0.14138028414724438
32.97377742751304,54.148594759424356,0.10062872348045773
29.86554170555992,34.2825376679135,0.18495816812114185
23.628240463318637,61.37514387845222,0.09937493420924987
34.451301996726926,41.67789217554804,0.15016586357042727
21.51951587847607,45.77136415836202,0.12279461849184495
33.707445153862416,53.07973709908636,0.09525152449353612
27.13486157367225,48.79956431219624,0.060215820601379005
28.78013521547719,41.38627380617525,0.2128609393807645
29.930134215165356,59.431671109038625,0.1237593382450203
23.477638743589065,66.60168240423269,0.1075309568487075
28.056232841514195,49.98660824942606,0.19773519373818996
29.875763200861666,53.736660722152905,0.06661893544665896
22.105789956736373,38.00894327950361,0.07783017025781994
27.396144767260452,68.05323729987049,0.17647500911225625
26.03862870285984,54.93266887006859,0.13135351289499153
19.565559533061013,79.29881976213699,0.12958362550362354
21.091170289402676,59.08949907135783,0.12216962802174168
27.61130292875406,30.280215726008862,0.08417926316042931
29.7400230443437,58.01603141576559,0.15140643958951197
24.30567981387557,66.1702626783582,0.14314649937008797
16.89730293510658,50.98058325489026,0.04040591377335229
25.499285360329186,59.52408063370418,0.13750975318517028
16.067761431375786,49.922186864909854,0.1998412181127276
24.826860931378487,53.586339577985434,0.16600527826715256
37.25528524897393,41.593547203126704,0.13522389395402248
24.593985774544347,56.92181572235637,0.12983740387600112
27.646215220785276,40.49000311139629,0.10921007714827291
17.85288939798726,58.005538208096326,0.14669406845134053
28.959474739853526,33.23729883511655,0.19538794406760562
23.820913432683398,34.23682752592133,0.12132787161037197
17.567908938695197,77.26579723175767,0.10097730538715444
27.840498966627084,45.82561942188919,0.13910256292007123
20.006617338342565,50.97340504433766,0.17213541772420374
32.70424791188346,53.15495870501716,0.10184573238934198
22.882427054823065,56.08903049676714,0.0363129046575457
24.519718063005097,52.97332520193716,0.14799792694303354
20.3949149930777,78.13622814371992,0.07026408557261428
20.812317252085876,52.514981923403056,0.041122736440238256
26.820642676269344,41.352982393027666,0.12472290356210185
19.31314017700182,56.38849401817569,0.12149434121381651
19.69311106371886,50.4074745409553,0.036304642454413956
26.55866165229749,33.39443079926361,0.010981927188879918
24.77285887757096,41.95564019164571,0.11407071957704705
23.032844380735938,42.57087069557308,0.11954325045778712
24.588561269251304,54.33904630086119,0.04700940686631779
26.606855055549122,38.15892471841178,0.12058575708988337
18.136739161925938,79.02314342952238,0.08743732378058625
25.635399852108,62.17003590239258,0.116449281918466
23.734147937831352,54.36770192617383,0.11490097201109307
20.115120962964397,56.103342494890725,0.027269216152375785
12.13809353177147,82.78147461873932,0.07671831077041603
25.152554310008345,53.70393488663334,0.14691602686016833
25.990747363075005,77.33037544654866,0.17855165783703042
27.10378217327637,74.20631287648332,0.1670725514532792
26.801234810208687,50.10324991636296,0.0061612508287350815
28.46112090248138,30.57282461801095,0.08916653274354863
23.16368880319969,50.01074194422794,0.14692606508146783
29.65270776636467,40.999727500706555,0.23813057940802418
16.102534140218353,45.44938586050873,0.07808910715605996
20.26867519950291,48.625308478910846,0.030495361037709785
32.49404707515717,56.85951368198384,0.0352979530351382
33.391604247666535,57.45025776160329,0.08255391814746858
17.63404445423698,46.98650438550302,0.19834297376936438
26.20389075366967,46.492317840241206,0.09932515323533153
19.7245699465313,52.2077390946569,0.045949236699554266
23.95042375686036,51.190598442347145,0.1123906530464536
22.504545427994284,58.62012423444063,0.05618809616076058
29.47638399948408,27.120563059782942,0.0858767244881902
17.15536734834032,49.36277757750141,0.18017027595863988
29.420944168842993,46.96302989022124,0.08717221542115856
22.27074277245978,48.174437127448144,0.13933371911256145
26.114435729157215,48.314980501450805,0.2092677976111561
24.171747895463067,56.62433864346632,0.16680382883801334
21.413744410784815,57.69440675430021,0.043517135966363925
16.374486834520827,48.56319666452306,0.06223419681371609
29.19164228561805,39.81348479642252,0.1607640717436154
23.817145009189776,42.242445081880525,0.05919434007185616
25.46885484595903,52.05563795734576,0.13660988617626732
28.69545652398278,46.434568377412056,0.13749336641907672
49.61734534462156,31.912733876448655,0.12729905131258615
26.08324296560305,45.98178207404866,0.08217214384551985
21.898006275301622,56.78938440203884,0.09072845290224488
25.73755163849205,46.72821548535167,0.11725369124365924
25.56296705907628,64.84142779673869,0.13227884578594085
23.77495280695301,42.949956467448665,0.11783759127913503
21.18451792766456,48.16419774362008,-0.009331492682948809
23.032899041015515,46.699507501819134,0.15118660073172216
15.48896055946538,67.88773905356166,0.12622651582391875
25.68403797130055,41.867881748733595,0.11465977448444388
13.141988970208002,54.23519140749989,0.0625252491844098
17.213715966365594,46.77855527415555,0.20065259785941017
21.951602049466167,49.4340241148228,0.13894291857240265
31.02747339060613,44.80237455898489,0.15619860922104586
29.887352021546786,46.176700025687026,0.15474703695804432
9.185347299745755,53.30189858825243,0.06698406915596025
28.646184150357406,36.25394756254875,0.08027861869015997
20.25920108820671,64.37943384259923,0.12031551191079493
25.96611176719011,53.716466356165206,0.13539247310335126
23.156000640942622,58.4852385211262,0.16134585493202724
25.239472284817783,54.79632563251349,0.1517978657589662
30.195146744675352,56.02420849990523,0.01557960441178203
26.46896400778867,58.66966379143967,0.1632654021411519
24.163799938685344,57.01789650319127,0.07918396007243532
26.3009317676856,55.644234861656216,0.16264163564518128
10.905791756242179,83.44832604571802,0.08612165071483897
23.464817792388885,69.04819277001342,0.09266018660928486
18.9677685568762,61.65886626780974,0.07500064577308674
21.46469375643287,68.47185993554781,0.13231229447616294
12.052110720002316,51.803099235375846,0.06011699568115135
23.89518020463492,66.44777456301874,0.1201173580226188
28.754272390529984,55.984527855051155,0.17542184498327185
25.491247488095045,58.19138880710356,0.059059692621609254
20.885075667113732,66.95219260302473,0.1256777296079432
29.923904764344243,35.53566616940422,0.1693781828393079
14.299447845351994,73.45913106307393,0.10145992631853279
19.10531726171833,79.50128216925974,0.08222439130834064
22.64843490551164,50.05333577516616,0.14370894606054027
28.098444165634184,44.36423649734572,0.1845364934596421
22.789678258251215,55.53370952120725,0.08700590585215306
34.491753166610465,70.19383619717604,0.11555313881817467
23.618655663919178,51.23440129081541,0.3086008028817154
24.202139124421944,54.096725569291145,-0.0047376736511564
30.16555703993092,56.73232105075079,0.06576676756384815
23.34443082725973,39.397641426327894,0.056207127973989496
35.563416391382134,51.755593221123384,0.11658953710617526
20.215270521179445,63.24961100014811,-0.07599118388003241
26.02873708772105,51.74617455576597,0.293048905104993
32.596587518128146,74.7135417047397,0.12850496050403473
28.810306130941335,55.21402441885037,0.1728592119584286
25.843980901078673,51.83385854136834,0.15522246674230852
15.221604932679334,52.083292855218794,0.0617352819455782
28.670622920767773,55.65093206004906,0.04184589909991342
34.943953077293756,39.07829913213959,0.14604993731797866
34.09858404414824,75.90796671354654,0.12035220389267015
29.609262325395353,55.599392428811655,0.20694281473925472
23.004635047814077,44.53761893727024,0.09235204226119195
27.579907140138825,42.26033171187766,0.017293463338516283
20.193347706655196,59.775335849373896,0.07620199834056472
